Id,SalePrice
1461,122842.779361695
1462,159147.03102954413
1463,184003.62553463614
1464,194165.45261947755
1465,181186.1052723574
1466,171589.8715137334
1467,168759.38379779528
1468,167131.06692040275
1469,180531.64089690463
1470,123412.57198890326
1471,189212.19123595618
1472,96985.32439501272
1473,98662.41056538251
1474,151283.41236372176
1475,125744.42446220342
1476,390471.6253508835
1477,256154.49205264772
1478,279818.4017136367
1479,281516.04875421396
1480,490313.12087809906
1481,330732.76467485295
1482,205799.7453581839
1483,172743.9658023256
1484,166876.03727293192
1485,173196.97422665826
1486,193106.00132513183
1487,342354.93045890337
1488,230478.41213558984
1489,211880.41268342163
1490,217466.3964755826
1491,191298.263796626
1492,89826.02656761887
1493,179330.16104513113
1494,298464.084577022
1495,298906.39959201217
1496,234035.3060705811
1497,191387.41625411043
1498,161892.13545210558
1499,158489.79403476958
1500,157764.0500041065
1501,177056.40457460427
1502,149895.16044118893
1503,292092.7067048048
1504,241288.7731934447
1505,234592.0543888499
1506,178734.36145900376
1507,245025.9510707266
1508,202478.27350354617
1509,158027.131760368
1510,149538.23172489347
1511,146714.11984554923
1512,175622.66136838842
1513,149279.82796052276
1514,163061.28349847032
1515,193950.38468960108
1516,150061.0755535755
1517,164033.76240542321
1518,132153.32032488045
1519,223193.14675629765
1520,135283.8028506007
1521,136171.14413201626
1522,176301.3845122547
1523,107392.99327491496
1524,121424.78005670883
1525,125813.08655540876
1526,113912.88390045067
1527,113264.70010924997
1528,129306.17414773084
1529,149797.58061166675
1530,170695.96564235352
1531,113398.38650307688
1532,99716.40985027142
1533,142241.37329356468
1534,120581.14249502422
1535,142702.88878210678
1536,104236.5775508878
1537,66725.20347293376
1538,153098.7003975621
1539,207345.86288265625
1540,96464.32207522116
1541,140803.52548107554
1542,135958.16541605996
1543,205023.7418716876
1544,81250.48122380537
1545,103437.58208385634
1546,132298.2702030435
1547,134707.6664931467
1548,135623.77438736812
1549,110920.80349258099
1550,140365.92052408122
1551,111208.44832564217
1552,136873.5358272928
1553,149105.73302791748
1554,118935.7492499955
